Timestamp,Asset Class,Entry Type,Symbol,Amount,Balance After,Notes
2026-04-09T21:21:06.447Z,stock,FILL,HUT,35.388073652,354.51635047638297,"Exit: Stop hit at 65.27"
2026-04-09T21:20:04.716Z,stock,FILL,HUT,-35.45869769,319.12827682438297,"Paper entry: HUT × 0.543262 @ 65.2700"
2026-04-09T21:19:57.611Z,stock,FILL,HUT,35.380448449999996,354.586974514383,"Exit: Stop hit at 65.27"
2026-04-09T21:18:52.120Z,stock,FILL,HUT,-35.46739165,319.20652606438296,"Paper entry: HUT × 0.543395 @ 65.2700"
2026-04-09T21:18:49.713Z,stock,FILL,HUT,35.398909205399995,354.673917714383,"Exit: Stop hit at 65.27"
2026-04-09T21:17:56.356Z,stock,FILL,HUT,-35.47500083,319.275008508983,"Paper entry: HUT × 0.543512 @ 65.2700"
2026-04-09T21:17:41.770Z,stock,FILL,HUT,35.450541008399995,354.750009338983,"Exit: Stop hit at 65.27"
2026-04-09T21:15:48.545Z,stock,FILL,HUT,-35.47771867,319.29946833058295,"Paper entry: HUT × 0.543553 @ 65.2700"
2026-04-09T20:16:01.317Z,stock,FILL,CCL,-39.41968736,354.77718700058296,"Paper entry: CCL × 1.414921 @ 27.8600"
2026-04-09T20:15:38.311Z,stock,FILL,CCL,43.2391799686,394.19687436058297,"Exit: Stop hit at 27.92"
2026-04-09T20:14:33.459Z,stock,FILL,UAL,-38.99529942,350.95769439198295,"Paper entry: UAL × 0.400486 @ 97.3700"
2026-04-09T20:14:33.438Z,stock,FILL,CCL,-43.32811051,389.95299381198294,"Paper entry: CCL × 1.552017 @ 27.9173"
2026-04-09T20:14:31.669Z,stock,FILL,UAL,38.93370274661,433.2811043219829,"Exit: Stop hit at 97.37"
2026-04-09T20:14:30.971Z,stock,FILL,CCL,43.26260241035,394.34740157537294,"Exit: Stop hit at 27.92"
2026-04-09T20:13:35.566Z,stock,FILL,UAL,-39.00942197,351.08479916502296,"Paper entry: UAL × 0.400631 @ 97.3700"
2026-04-09T20:13:35.548Z,stock,FILL,CCL,-43.34380227,390.09422113502296,"Paper entry: CCL × 1.552579 @ 27.9173"
2026-04-09T20:13:24.736Z,stock,FILL,UAL,38.9979537279,433.438023405023,"Exit: Stop hit at 97.37"
2026-04-09T20:13:24.002Z,stock,FILL,CCL,43.31424103685,394.440069677123,"Exit: Stop hit at 27.92"
2026-04-09T20:12:38.118Z,stock,FILL,UAL,-39.01398083,351.125828640273,"Paper entry: UAL × 0.400678 @ 97.3700"
2026-04-09T20:12:38.101Z,stock,FILL,CCL,-43.34886759,390.139809470273,"Paper entry: CCL × 1.552760 @ 27.9173"
